id,name,now_cost,position,team,own_goals,corners_and_indirect_freekicks_order,transfers_in,expected_assists,selected_by_percent,threat_rank_type,chance_of_playing_next_round,transfers_out_event,creativity,penalties_missed,chance_of_playing_this_round,clean_sheets_per_90,saves,expected_goals_conceded_per_90,selected_rank_type,goals_scored,value_season,expected_goals_conceded,expected_goal_involvements_per_90,points_per_game_rank_type,points_per_game_rank,ict_index_rank,expected_assists_per_90,ep_next,expected_goals_per_90,cost_change_event,penalties_saved,ep_this,yellow_cards,transfers_in_event,clean_sheets,threat,expected_goal_involvements,now_cost_rank,assists,total_points,bonus,minutes,cost_change_event_fall,dreamteam_count,creativity_rank_type,status,transfers_out,influence_rank,threat_rank,goals_conceded,red_cards,form,news,direct_freekicks_order,web_name,ict_index,value_form,starts,cost_change_start_fall,penalties_order,saves_per_90,points_per_game,news_added,starts_per_90,expected_goals,bps,now_cost_rank_type,creativity_rank,ict_index_rank_type,influence_rank_type,event_points,selected_rank,in_dreamteam,form_rank,goals_conceded_per_90,influence,cost_change_start,form_rank_type
1,Cédric Alves Soares,42,DEF,Arsenal,0,,6396,0.00979,0.1,199,100.0,158,1.6,0,100.0,0.0,0,0.13982,148,0,0.5,0.04350,0.03147,146,390,441,0.03147,0.5,0.0,0,0,0.5,0,76,0,0.0,0.00979,549,0,2,0,28,0,0,143,a,26294,435,491,0,0,0.0,,,Cédric,0.4,0.0,0,3,,0.0,1.0,2022-09-16T13:30:06.551108Z,0.0,0.00000,5,158,394,162,161,0,399,False,383,0.0,2.4,-3,149
3,Granit Xhaka,51,MID,Arsenal,0,,773113,1.56051,3.6,36,,11716,310.4,0,,0.42994,0,0.87996,26,3,13.1,12.28030,0.22371,17,37,33,0.11182,5.5,0.11189,0,0,5.5,2,10498,6,251.0,3.12201,171,4,67,7,1256,0,1,26,a,559163,52,59,12,0,5.0,,3.0,Xhaka,88.5,1.0,15,-1,,0.0,4.5,,1.07484,1.56150,275,99,32,23,19,5,86,False,64,0.86,323.6,1,28
4,Mohamed Elneny,42,MID,Arsenal,0,,180093,0.04431,0.9,194,100.0,3672,5.3,0,100.0,0.0,0,0.78897,59,0,1.2,0.83280,0.04198,155,356,425,0.04198,1.5,0.0,0,0,1.5,0,5587,0,0.0,0.04431,556,0,5,0,95,0,1,176,a,226411,425,496,1,0,1.0,,,Elneny,1.0,0.2,1,3,,0.0,1.2,2022-08-30T11:30:06.278675Z,0.94737,0.00000,24,286,372,190,188,1,188,False,168,0.95,4.2,-3,88
5,Rob Holding,42,DEF,Arsenal,0,,6460,0.00022,0.1,203,,186,0.1,0,,0.0,0,1.0305,157,0,1.0,0.13740,0.00165,149,393,448,0.00165,0.5,0.0,0,0,0.5,0,90,0,0.0,0.00022,557,0,4,0,12,0,0,165,a,16681,437,497,0,0,0.0,,,Holding,0.2,0.0,0,3,,0.0,1.0,,0.0,0.00000,14,164,437,165,163,0,420,False,389,0.0,2.4,-3,154
6,Thomas Partey,48,MID,Arsenal,0,,89081,0.64933,0.5,101,100.0,2438,147.9,0,100.0,0.60057,0,0.86947,80,2,9.2,10.13420,0.14999,41,86,118,0.05571,2.5,0.09428,0,0,2.5,1,1550,7,114.0,1.74823,260,0,44,4,1049,0,0,80,a,106872,113,156,7,0,2.0,,,Partey,49.2,0.4,12,2,,0.0,3.7,2022-09-25T09:00:06.484502Z,1.02955,1.09890,205,157,114,75,48,2,242,False,108,0.6,229.2,-2,52
7,Martin Ødegaard,64,MID,Arsenal,0,4.0,2623260,3.20429,18.2,10,100.0,11019,436.0,0,100.0,0.46312,0,0.90594,9,6,13.8,11.73690,0.597,3,7,10,0.24733,11.5,0.34967,0,0,11.5,2,164583,6,463.0,7.73449,57,4,88,14,1166,0,3,6,a,2273632,22,18,11,0,11.0,,1.0,Ødegaard,129.2,1.7,14,1,,0.0,6.3,2022-09-18T20:00:06.315087Z,1.08062,4.53020,330,27,9,5,9,11,22,True,11,0.85,391.0,-1,5
8,Kieran Tierney,47,DEF,Arsenal,0,,71310,0.26686,0.9,73,100.0,1278,53.8,0,100.0,0.21583,0,0.65592,67,0,4.5,3.03910,0.11378,117,322,312,0.0576,2.5,0.05618,0,0,2.5,0,1478,1,45.0,0.52716,298,0,21,0,417,0,0,63,a,127237,306,257,3,0,2.0,,,Tierney,16.3,0.4,4,3,,0.0,1.6,2022-09-26T13:00:06.430643Z,0.86331,0.26030,85,51,230,104,120,2,185,False,104,0.65,64.0,-3,30
9,Nicolas Pépé,53,MID,Arsenal,0,,5198,0.00000,0.1,284,0.0,46,0.0,0,0.0,0.0,0,0.0,153,0,0.0,0.00000,0.0,284,665,666,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.00000,147,0,0,0,0,0,0,284,u,36310,665,663,0,0,0.0,Season-long loan to Nice,,Pépé,0.0,0.0,0,2,,0.0,0.0,2022-08-26T07:24:29.541862Z,0.0,0.00000,0,83,664,284,284,0,423,False,627,0.0,0.0,-2,268
10,Benjamin White,47,DEF,Arsenal,0,,1702460,1.71361,13.9,84,,24810,216.2,0,,0.58065,0,0.88013,10,0,14.5,12.12620,0.14665,8,36,111,0.12437,2.5,0.02228,0,0,2.5,3,39693,8,39.0,2.02051,299,2,68,6,1240,0,0,8,a,860408,82,274,11,0,2.0,,,White,51.6,0.4,15,-2,,0.0,4.5,,1.08871,0.30690,319,52,63,19,21,2,30,False,105,0.8,261.2,2,31
11,Eddie Nketiah,65,FWD,Arsenal,0,,338363,0.14575,2.5,25,,9759,40.6,0,,0.0,0,0.90927,16,1,2.8,2.33380,0.50234,45,349,243,0.05679,6.5,0.44556,0,0,6.5,0,45430,0,192.0,1.28935,55,0,18,0,231,0,0,40,a,163952,318,89,2,0,6.0,,,Nketiah,28.4,0.9,1,5,,0.0,1.4,,0.38961,1.14360,45,26,263,34,38,6,104,False,54,0.78,54.8,-5,6
12,Emile Smith Rowe,56,MID,Arsenal,0,,24182,0.19205,0.4,163,75.0,318,36.7,0,75.0,0.0,0,1.14626,100,0,0.7,0.59860,0.54603,208,456,364,0.36776,0.4,0.17828,0,0,0.4,0,85,0,18.0,0.28515,99,0,4,0,47,0,0,146,d,145690,378,331,1,0,0.0,Lack of match fitness - 75% chance of playing,,Smith Rowe,6.8,0.0,0,4,,0.0,1.0,2022-09-04T21:30:06.539921Z,0.0,0.09310,18,53,275,162,164,0,283,False,646,1.91,15.8,-4,279
13,Bukayo Saka,80,MID,Arsenal,0,2.0,2459093,2.31544,19.1,12,100.0,16559,488.7,0,100.0,0.42722,0,0.87084,8,5,10.6,12.23040,0.54022,8,16,9,0.16487,9.5,0.37535,0,0,9.5,3,112790,6,456.0,7.58704,19,7,85,7,1264,0,2,5,a,2623054,23,20,12,0,9.0,,,Saka,133.5,1.1,15,0,1.0,0.0,5.7,2022-10-30T20:30:06.843169Z,1.06804,5.27160,294,9,6,4,10,9,20,False,20,0.85,390.6,0,11
14,Takehiro Tomiyasu,42,DEF,Arsenal,0,,80900,0.13529,0.6,104,50.0,2253,43.0,0,50.0,0.44554,0,1.08517,85,0,5.0,4.87120,0.04763,106,284,320,0.03014,0.2,0.01749,0,0,0.2,1,163,2,24.0,0.21379,564,0,21,0,404,0,0,76,d,202216,289,308,4,0,0.0,Hamstring injury - 50% chance of playing,,Tomiyasu,14.4,0.0,4,3,,0.0,1.9,2022-12-20T01:00:06.978218Z,0.89109,0.07850,110,170,255,109,109,0,231,False,393,0.89,77.8,-3,158
15,Aaron Ramsdale,49,GKP,Arsenal,0,,1111731,0.03207,12.4,65,100.0,24847,0.0,0,100.0,0.46667,31,0.86841,5,0,12.4,13.02610,0.00214,6,54,252,0.00214,3.5,0.0,0,0,3.5,0,15343,7,0.0,0.03207,234,0,61,3,1350,0,0,67,a,1382135,83,645,12,0,3.0,,,Ramsdale,25.9,0.6,15,1,,2.06667,4.1,2022-08-31T22:30:06.428076Z,1.0,0.00000,272,10,648,18,18,3,33,False,82,0.8,257.6,-1,10
