Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;GD;Pts;Pts/MP;xG;xGA;xGD;xGD/90;Attendance;Top Team Scorer;Goalkeeper
1;Paris S-G;FRA;1;15;13;2;0;43;9;34;41;2.73;35.2;14.8;20.4;1.36;46143;Kylian Mbappé - 12;Gianluigi Donnarumma
2;Napoli;ITA;1;15;13;2;0;37;12;25;41;2.73;29.6;13.4;16.2;1.08;40616;Victor Osimhen - 9;Alex Meret
3;Barcelona;ESP;1;14;12;1;1;33;5;28;37;2.64;32.6;9.9;22.7;1.62;83194;Robert Lewandowski - 13;Marc-André ter Stegen
4;Arsenal;ENG;1;14;12;1;1;33;11;22;37;2.64;26.2;11.8;14.3;1.02;60135;Martin Ødegaard - 6;Aaron Ramsdale
5;Real Madrid;ESP;2;14;11;2;1;33;14;19;35;2.5;30.6;13.5;17.2;1.23;57552;Vinicius Júnior Federico Valverde - 6;Thibaut Courtois
6;Lens;FRA;2;15;11;3;1;26;10;16;36;2.4;27.3;15.8;11.5;0.77;37296;Loïs Openda - 7;Brice Samba
7;Manchester City;ENG;2;14;10;2;2;40;14;26;32;2.29;27.6;11.2;16.4;1.17;53152;Erling Haaland - 18;Ederson
8;Bayern Munich;GER;1;15;10;4;1;49;13;36;34;2.27;35.2;14.7;20.6;1.37;75000;Jamal Musiala - 9;Manuel Neuer
9;Milan;ITA;2;15;10;3;2;29;15;14;33;2.2;25.1;14.9;10.2;0.68;72656;Rafael Leão - 6;Ciprian T?t?ru?anu
10;Juventus;ITA;3;15;9;4;2;24;7;17;31;2.07;20.4;16.5;3.9;0.26;37724;Dušan Vlahovi? - 6;Wojciech Szcz?sny
11;Rennes;FRA;3;15;9;4;2;31;14;17;31;2.07;25.9;17.5;8.4;0.56;27556;Martin Terrier - 8;Steve Mandanda
12;Newcastle Utd;ENG;3;15;8;6;1;29;11;18;30;2;24.3;14.3;9.9;0.66;52177;Miguel Almirón - 8;Nick Pope
13;Lazio;ITA;4;15;9;3;3;26;11;15;30;2;18.4;17.3;1.2;0.08;42063;Ciro Immobile - 6;Ivan Provedel
14;Marseille;FRA;4;15;9;3;3;26;13;13;30;2;24.2;17.7;6.5;0.43;62136;Alexis Sánchez - 5;Pau López
15;Inter;ITA;5;15;10;0;5;34;22;12;30;2;27.6;14.7;12.9;0.86;72080;Lautaro Martínez - 7;Samir Handanovi?
16;Freiburg;GER;2;15;9;3;3;25;17;8;30;2;23.2;19.1;4.1;0.27;34171;Vincenzo Grifo - 9;Mark Flekken
17;Tottenham;ENG;4;15;9;2;4;31;21;10;29;1.93;24.1;16.5;7.6;0.5;61667;Harry Kane - 12;Hugo Lloris
18;RB Leipzig;GER;3;15;8;4;3;30;21;9;28;1.87;27.7;16.7;11.1;0.74;45172;Christopher Nkunku - 12;Janis Blaswich
19;Lorient;FRA;5;15;8;4;3;26;21;5;28;1.87;20.2;22.6;-2.4;-0.16;14694;Terem Moffi - 10;Yvon Mvogo
20;Real Sociedad;ESP;3;14;8;2;4;19;17;2;26;1.86;18.5;12.7;5.8;0.41;32580;Brais Méndez - 6;Álex Remiro
21;Manchester Utd;ENG;5;14;8;2;4;20;20;0;26;1.86;18.8;17.3;1.5;0.11;73729;Marcus Rashford - 4;David de Gea
22;Monaco;FRA;6;15;8;3;4;29;21;8;27;1.8;24.7;22.5;2.2;0.15;6922;Breel Embolo - 7;Alexander Nübel
23;Eint Frankfurt;GER;4;15;8;3;4;32;24;8;27;1.8;25.1;18.1;7.1;0.47;50025;Daichi Kamada - 7;Kevin Trapp
24;Atalanta;ITA;6;15;8;3;4;22;15;7;27;1.8;24.2;15.6;8.6;0.58;18642;Ademola Lookman - 7;Juan Musso
25;Union Berlin;GER;5;15;8;3;4;24;20;4;27;1.8;15;15.7;-0.7;-0.04;21875;Sheraldo Becker - 7;Frederik Rønnow
26;Roma;ITA;7;15;8;3;4;18;14;4;27;1.8;26.8;10.6;16.2;1.08;61790;Paulo Dybala - 5;Rui Patrício
27;Lille;FRA;7;15;8;2;5;27;23;4;26;1.73;26.5;18.3;8.2;0.55;37437;Jonathan David - 9;Lucas Chevalier
28;Athletic Club;ESP;4;14;7;3;4;24;14;10;24;1.71;21.6;9.7;11.9;0.85;43099;Iñaki Williams Gorka Guruzeta - 5;Unai Simón
29;Atlético Madrid;ESP;5;14;7;3;4;21;14;7;24;1.71;18.3;16;2.2;0.16;54507;Álvaro Morata Antoine Griezmann - 5;Jan Oblak
30;Betis;ESP;6;14;7;3;4;17;12;5;24;1.71;18.5;16.6;1.9;0.14;51290;Borja Iglesias - 8;Rui Silva
31;Dortmund;GER;6;15;8;1;6;25;21;4;25;1.67;24.6;19;5.6;0.37;81032;Youssoufa Moukoko - 6;Gregor Kobel
32;Osasuna;ESP;7;14;7;2;5;16;14;2;23;1.64;18.2;13.1;5;0.36;19156;Ezequiel Ávila - 6;Sergio Herrera
33;Udinese;ITA;8;15;6;6;3;24;17;7;24;1.6;19.2;18.1;1.1;0.07;21505;Beto - 6;Marco Silvestri
34;Liverpool;ENG;6;14;6;4;4;28;17;11;22;1.57;24.2;19.5;4.7;0.34;53226;Roberto Firmino - 7;Alisson
35;Rayo Vallecano;ESP;8;14;6;4;4;20;16;4;22;1.57;16.7;17.8;-1;-0.07;12482;Álvaro García Isaac Palazón Camacho... - 3;Stole Dimitrievski
