,FTR
0,NH
1,H
2,NH
3,H
4,NH
5,H
6,NH
7,NH
8,NH
9,NH
10,NH
11,NH
12,NH
13,NH
14,H
15,H
16,H
17,NH
18,NH
19,NH
20,H
21,H
22,H
23,NH
24,H
25,H
26,H
27,H
28,NH
29,H
30,H
31,NH
32,H
33,H
34,NH
35,NH
36,H
37,NH
38,H
39,NH
40,NH
41,H
42,NH
43,H
44,H
45,H
46,H
47,NH
48,NH
49,NH
50,NH
51,H
52,NH
53,NH
54,NH
55,H
56,NH
57,NH
58,NH
59,NH
60,H
61,NH
62,NH
63,NH
64,H
65,H
66,H
67,NH
68,NH
69,NH
70,H
71,H
72,H
73,H
74,H
75,NH
76,NH
77,NH
78,NH
79,H
80,H
81,NH
82,NH
83,H
84,NH
85,H
86,H
87,NH
88,H
89,H
90,H
91,NH
92,H
93,NH
94,H
95,NH
96,H
97,NH
98,H
99,NH
100,NH
101,NH
102,H
103,NH
104,H
105,NH
106,H
107,H
108,NH
109,NH
110,NH
111,NH
112,H
113,H
114,H
115,H
116,H
117,NH
118,NH
119,NH
120,H
121,NH
122,NH
123,NH
124,NH
125,NH
126,NH
127,NH
128,H
129,NH
130,H
131,H
132,NH
133,NH
134,H
135,NH
136,H
137,NH
138,H
139,NH
140,H
141,H
142,H
143,H
144,H
145,H
146,NH
147,H
148,NH
149,H
150,H
151,NH
152,H
153,H
154,H
155,NH
156,NH
157,NH
158,H
159,H
160,H
161,NH
162,H
163,H
164,NH
165,NH
166,H
167,NH
168,H
169,NH
170,NH
171,H
172,H
173,H
174,NH
175,NH
176,H
177,H
178,NH
179,H
180,H
181,NH
182,H
183,NH
184,H
185,NH
186,H
187,NH
188,NH
189,H
190,NH
191,NH
192,H
193,NH
194,NH
195,H
196,H
197,H
198,NH
199,H
200,H
201,H
202,H
203,NH
204,NH
205,H
206,NH
207,H
208,NH
209,H
210,H
211,NH
212,H
213,H
214,NH
215,H
216,NH
217,H
218,NH
219,H
220,H
221,H
222,NH
223,NH
224,H
225,NH
226,NH
227,NH
228,NH
229,NH
230,H
231,H
232,NH
233,NH
234,H
235,NH
236,NH
237,H
238,NH
239,NH
240,NH
241,H
242,NH
243,NH
244,NH
245,NH
246,NH
247,NH
248,H
249,NH
250,H
251,NH
252,H
253,H
254,NH
255,H
256,NH
257,H
258,NH
259,H
260,NH
261,NH
262,H
263,H
264,NH
265,NH
266,H
267,NH
268,NH
269,NH
270,H
271,NH
272,NH
273,H
274,NH
275,H
276,H
277,NH
278,NH
279,H
280,H
281,H
282,H
283,NH
284,NH
285,NH
286,H
287,H
288,H
289,H
290,H
291,H
292,H
293,NH
294,H
295,H
296,NH
297,H
298,H
299,H
300,NH
301,H
302,H
303,H
304,NH
305,H
306,H
307,H
308,H
309,NH
310,H
311,H
312,H
313,H
314,NH
315,NH
316,H
317,H
318,H
319,NH
320,NH
321,NH
322,H
323,H
324,H
325,NH
326,NH
327,NH
328,NH
329,NH
330,H
331,H
332,NH
333,NH
334,NH
335,H
336,NH
337,NH
338,NH
339,NH
340,H
341,NH
342,NH
343,H
344,NH
345,NH
346,NH
347,H
348,NH
